Period,Alcohol Type,Alcohol Sub Type,Alcohol Content,Clearance Origin,Value,Measure Type,Unit,Marker
government-year/1999-2000,wine,Still,up to 15% abv,All,8721828.97,clearances,hectolitres,
government-year/1999-2000,wine,Sparkling,up to 15% abv,All,621067.74,clearances,hectolitres,
government-year/1999-2000,wine,All,over 15% abv,All,312545.57,clearances,hectolitres,
government-year/1999-2000,wine,All,over 5.5% abv,Ex-ship,2248574.5,clearances,hectolitres,
government-year/1999-2000,wine,All,over 5.5% abv,Ex-warehouse,7393838.35,clearances,hectolitres,
government-year/1999-2000,wine,All,over 5.5% abv,UK Origin,13029.44,clearances,hectolitres,
government-year/1999-2000,wine,All,All,All,9655442.29,clearances,hectolitres,
government-year/1999-2000,wine,All,All,All,1657.0,wine-duty-receipts,gbp-million,
government-year/1999-2000,wine,All,All,All,6429.0,alcohol-duty-receipts,gbp-million,
government-year/2000-2001,wine,Still,up to 15% abv,All,8920111.13,clearances,hectolitres,
government-year/2000-2001,wine,Sparkling,up to 15% abv,All,515521.34,clearances,hectolitres,
government-year/2000-2001,wine,All,over 15% abv,All,278172.66,clearances,hectolitres,
government-year/2000-2001,wine,All,over 5.5% abv,Ex-ship,2222695.39,clearances,hectolitres,
government-year/2000-2001,wine,All,over 5.5% abv,Ex-warehouse,7482315.15,clearances,hectolitres,
government-year/2000-2001,wine,All,over 5.5% abv,UK Origin,8794.59,clearances,hectolitres,
government-year/2000-2001,wine,All,All,All,9713805.13,clearances,hectolitres,
government-year/2000-2001,wine,All,All,All,1814.0,wine-duty-receipts,gbp-million,
government-year/2000-2001,wine,All,All,All,6664.0,alcohol-duty-receipts,gbp-million,
government-year/2001-2002,wine,Still,up to 15% abv,All,9807174.52,clearances,hectolitres,
government-year/2001-2002,wine,Sparkling,up to 15% abv,All,513810.01,clearances,hectolitres,
government-year/2001-2002,wine,All,over 15% abv,All,302336.87,clearances,hectolitres,
government-year/2001-2002,wine,All,over 5.5% abv,Ex-ship,2423217.2,clearances,hectolitres,
government-year/2001-2002,wine,All,over 5.5% abv,Ex-warehouse,8189529.99,clearances,hectolitres,
government-year/2001-2002,wine,All,over 5.5% abv,UK Origin,10574.22,clearances,hectolitres,
government-year/2001-2002,wine,All,All,All,10623321.4,clearances,hectolitres,
government-year/2001-2002,wine,All,All,All,1982.0,wine-duty-receipts,gbp-million,
government-year/2001-2002,wine,All,All,All,6955.0,alcohol-duty-receipts,gbp-million,
government-year/2002-2003,wine,Still,up to 15% abv,All,10490580.98,clearances,hectolitres,
government-year/2002-2003,wine,Sparkling,up to 15% abv,All,580320.14,clearances,hectolitres,
government-year/2002-2003,wine,All,over 15% abv,All,306384.26,clearances,hectolitres,
government-year/2002-2003,wine,All,over 5.5% abv,Ex-ship,2782500.65,clearances,hectolitres,
government-year/2002-2003,wine,All,over 5.5% abv,Ex-warehouse,8583231.11,clearances,hectolitres,
government-year/2002-2003,wine,All,over 5.5% abv,UK Origin,11553.61,clearances,hectolitres,
government-year/2002-2003,wine,All,All,All,11377285.38,clearances,hectolitres,
government-year/2002-2003,wine,All,All,All,1936.0,wine-duty-receipts,gbp-million,
government-year/2002-2003,wine,All,All,All,7297.0,alcohol-duty-receipts,gbp-million,
