Year,Entrant,Song,Language,Marker,Measure,Observation,Units
1958,Alice Babs,Lilla stjärna,Swedish,,Place, 4     ,none
1959,Brita Borg,Augustin,Swedish,,Place, 9     ,none
1960,Siw Malmkvist,Alla andra får varann,Swedish,,Place, 10    ,none
1961,Lill-Babs,"April, april",Swedish,,Place, 14    ,none
1962,Inger Berggren,Sol och vår,Swedish,,Place, 7     ,none
1963,Monica Zetterlund,En gång i Stockholm,Swedish,,Place, 13    ,none
1965,Ingvar Wixell,Absent Friend,English,,Place, 10    ,none
1966,Lill Lindfors and Svante Thuresson,Nygammal vals,Swedish,,Place, 2     ,none
1967,Östen Warnerbring,Som en dröm,Swedish,,Place, 8     ,none
1968,Claes-Göran Hederström,"Det börjar verka kärlek, banne mig",Swedish,,Place, 5     ,none
1969,Tommy Körberg,"Judy, min vän",Swedish,,Place, 9     ,none
1971,Family Four,Vita vidder,Swedish,,Place, 6     ,none
1972,Family Four,Härliga sommardag,Swedish,,Place, 13    ,none
1973,The Nova and the Dolls,You're Summer,English,,Place, 5     ,none
1974,ABBA,Waterloo,English,,Place, 1     ,none
1975,Lars Berghagen and the Dolls,"Jennie, Jennie",English,,Place, 8     ,none
1977,Forbes,Beatles,Swedish,,Place, 18    ,none
1978,Björn Skifs,Det blir alltid värre framåt natten,Swedish,,Place, 14    ,none
1979,Ted Gärdestad,Satellit,Swedish,,Place, 17    ,none
1980,Tomas Ledin,Just nu!,Swedish,,Place, 10    ,none
1981,Björn Skifs,Fångad i en dröm,Swedish,,Place, 10    ,none
1982,Chips,Dag efter dag,Swedish,,Place, 8     ,none
1983,Carola,Främling,Swedish,,Place, 3     ,none
1984,Herreys,Diggi-Loo Diggi-Ley,Swedish,,Place, 1     ,none
1985,Kikki Danielsson,Bra vibrationer,Swedish,,Place, 3     ,none
1986,Monica Törnell and Lasse Holm,E' de' det här du kallar kärlek?,Swedish,,Place, 5     ,none
1987,Lotta Engberg,Boogaloo,Swedish,,Place, 12    ,none
1988,Tommy Körberg,Stad i ljus,Swedish,,Place, 12    ,none
1989,Tommy Nilsson,En dag,Swedish,,Place, 4     ,none
1990,Edin-Ådahl,Som en vind,Swedish,,Place, 16    ,none
1991,Carola,Fångad av en stormvind,Swedish,,Place, 1     ,none
1992,Christer Björkman,I morgon är en annan dag,Swedish,,Place, 22    ,none
1993,Arvingarna,Eloise,Swedish,,Place, 7     ,none
1994,Marie Bergman and Roger Pontare,Stjärnorna,Swedish,,Place, 13    ,none
1995,Jan Johansen,Se på mej,Swedish,,Place, 3     ,none
1996,One More Time,Den vilda,Swedish,,Place, 3     ,none
1997,Blond,Bara hon älskar mig,Swedish,,Place, 14    ,none
1998,Jill Johnson,Kärleken är,Swedish,,Place, 10    ,none
1999,Charlotte Nilsson,Take Me to Your Heaven,English,,Place, 1     ,none
2000,Roger Pontare,When Spirits Are Calling My Name,English,,Place, 7     ,none
2001,Friends,Listen to Your Heartbeat,English,,Place, 5     ,none
2002,Afro-dite,Never Let It Go,English,,Place, 8     ,none
2003,Fame,Give Me Your Love,English,,Place, 5     ,none
2004,Lena Philipsson,It Hurts,English,,Place, 5     ,none
2005,Martin Stenmarck,Las Vegas,English,,Place, 19    ,none
2006,Carola,Invincible,English,,Place, 5     ,none
2007,The Ark,The Worrying Kind,English,,Place, 18    ,none
2008,Charlotte Perrelli,Hero,English,,Place, 18    ,none
2009,Malena Ernman,La voix,"French, English",,Place, 21    ,none
2010,Anna Bergendahl,This Is My Life,English,Did not qualify for final,Place,-1,none
2011,Eric Saade,Popular,English,,Place, 3     ,none
2012,Loreen,Euphoria,English,,Place, 1     ,none
2013,Robin Stjernberg,You,English,,Place, 14    ,none
2014,Sanna Nielsen,Undo,English,,Place, 3     ,none
2015,Måns Zelmerlöw,Heroes,English,,Place, 1     ,none
2016,Frans,If I Were Sorry,English,,Place, 5     ,none
2017,Robin Bengtsson,I Can't Go On,English,,Place, 5     ,none
2018,Benjamin Ingrosso,Dance You Off,English,,Place, 7     ,none
2019,John Lundvik,Too Late for Love,English,,Place, 5     ,none
2020,The Mamas,Move,English,Contest cancelled,Place,-1,none
2021,Tusse,Voices,English,,Place, 14    ,none
1958,Alice Babs,Lilla stjärna,Swedish,,Final Points, 10     ,none
1959,Brita Borg,Augustin,Swedish,,Final Points, 4      ,none
1960,Siw Malmkvist,Alla andra får varann,Swedish,,Final Points, 4      ,none
1961,Lill-Babs,"April, april",Swedish,,Final Points, 2      ,none
1962,Inger Berggren,Sol och vår,Swedish,,Final Points, 4      ,none
1963,Monica Zetterlund,En gång i Stockholm,Swedish,,Final Points, 0      ,none
1965,Ingvar Wixell,Absent Friend,English,,Final Points, 6      ,none
1966,Lill Lindfors and Svante Thuresson,Nygammal vals,Swedish,,Final Points, 16     ,none
1967,Östen Warnerbring,Som en dröm,Swedish,,Final Points, 7      ,none
1968,Claes-Göran Hederström,"Det börjar verka kärlek, banne mig",Swedish,,Final Points, 15     ,none
1969,Tommy Körberg,"Judy, min vän",Swedish,,Final Points, 8      ,none
1971,Family Four,Vita vidder,Swedish,,Final Points, 85     ,none
1972,Family Four,Härliga sommardag,Swedish,,Final Points, 75     ,none
1973,The Nova and the Dolls,You're Summer,English,,Final Points, 94     ,none
1974,ABBA,Waterloo,English,,Final Points, 24     ,none
