Year,Entrant,Song,Language,Marker,Measure,Observation,Units
1958,alice-babs,lilla-stjarna,swedish,,place,4,none
1959,brita-borg,augustin,swedish,,place,9,none
1960,siw-malmkvist,alla-andra-far-varann,swedish,,place,10,none
1961,lill-babs,april-april,swedish,,place,14,none
1962,inger-berggren,sol-och-var,swedish,,place,7,none
1963,monica-zetterlund,en-gang-i-stockholm,swedish,,place,13,none
1965,ingvar-wixell,absent-friend,english,,place,10,none
1966,lill-lindfors-and-svante-thuresson,nygammal-vals,swedish,,place,2,none
1967,osten-warnerbring,som-en-drom,swedish,,place,8,none
1968,claes-goran-hederstrom,det-borjar-verka-karlek-banne-mig,swedish,,place,5,none
1969,tommy-korberg,judy-min-van,swedish,,place,9,none
1971,family-four,vita-vidder,swedish,,place,6,none
1972,family-four,harliga-sommardag,swedish,,place,13,none
1973,the-nova-and-the-dolls,you-re-summer,english,,place,5,none
1974,abba,waterloo,english,,place,1,none
1975,lars-berghagen-and-the-dolls,jennie-jennie,english,,place,8,none
1977,forbes,beatles,swedish,,place,18,none
1978,bjorn-skifs,det-blir-alltid-varre-framat-natten,swedish,,place,14,none
1979,ted-gardestad,satellit,swedish,,place,17,none
1980,tomas-ledin,just-nu,swedish,,place,10,none
1981,bjorn-skifs,fangad-i-en-drom,swedish,,place,10,none
1982,chips,dag-efter-dag,swedish,,place,8,none
1983,carola,framling,swedish,,place,3,none
1984,herreys,diggi-loo-diggi-ley,swedish,,place,1,none
1985,kikki-danielsson,bra-vibrationer,swedish,,place,3,none
1986,monica-tornell-and-lasse-holm,e-de-det-har-du-kallar-karlek,swedish,,place,5,none
1987,lotta-engberg,boogaloo,swedish,,place,12,none
1988,tommy-korberg,stad-i-ljus,swedish,,place,12,none
1989,tommy-nilsson,en-dag,swedish,,place,4,none
1990,edin-adahl,som-en-vind,swedish,,place,16,none
1991,carola,fangad-av-en-stormvind,swedish,,place,1,none
1992,christer-bjorkman,i-morgon-ar-en-annan-dag,swedish,,place,22,none
1993,arvingarna,eloise,swedish,,place,7,none
1994,marie-bergman-and-roger-pontare,stjarnorna,swedish,,place,13,none
1995,jan-johansen,se-pa-mej,swedish,,place,3,none
